p_loss_bad,p_g2b,p_b2g,rms_mean,rms_std,J_mean,N_tx_mean,N_tx_attempt_mean,tx_rate_mean,tx_attempt_rate_mean,bits_mean,energy_mean,fail_rate,avg_qerr
0.3,0.01,0.2,12557.81641403914,46.074133229102145,3146144644301.0835,1772.3666666666666,1889.9333333333334,0.8861833333333333,0.9449666666666668,181433.6,7767.194999099652,1.0,41903597.57465069
0.3,0.02,0.1,12556.821099719627,44.86227563932091,3145652375666.6025,1719.9666666666667,1891.9666666666667,0.8599833333333333,0.9459833333333336,181628.8,7763.186199575137,1.0,41830830.25723135
0.3,0.05,0.05,12513.560455780098,58.54565675637745,3124047158082.267,1563.5,1889.4666666666667,0.7817500000000002,0.9447333333333334,181388.8,7749.91148851583,1.0,41508394.083708905
0.5,0.01,0.2,12545.696770813798,50.15862177827914,3140083975925.875,1754.0666666666666,1890.1666666666667,0.8770333333333334,0.9450833333333336,181456.0,7767.104588468418,1.0,41826153.77664305
0.5,0.02,0.1,12493.546463763607,73.2755592304515,3114102620845.094,1656.7333333333333,1889.8333333333333,0.8283666666666669,0.9449166666666665,181424.0,7755.845330377609,1.0,41311281.434037186
0.5,0.05,0.05,12392.386726810944,88.41098563489655,3063943424229.799,1380.3,1891.7666666666667,0.6901500000000003,0.9458833333333332,181609.6,7721.103941856728,1.0,40696873.90734964
0.7,0.01,0.2,12520.199481670505,72.58586162344353,3127386918089.195,1735.9333333333334,1890.6666666666667,0.8679666666666666,0.9453333333333335,181504.0,7767.299736874723,1.0,41619207.48871978
0.7,0.02,0.1,12377.54421827242,119.86333860727373,3056726237279.807,1592.5,1890.7666666666667,0.7962499999999999,0.9453833333333334,181513.6,7741.776410843833,1.0,40545738.90573443
0.7,0.05,0.05,11858.68811862688,258.33761256058466,2806876748261.5557,1190.0,1891.0,0.5950000000000001,0.9455000000000001,181536.0,7687.382753951681,1.0,37066439.63533681
