bits_per_value,rms_mean,rms_std,J_mean,J_std,N_tx_mean,N_tx_std,N_tx_attempt_mean,tx_rate_mean,tx_attempt_rate_mean,bits_mean,bits_std,energy_mean,fail_rate,avg_qerr
4,12075.828803285263,87.60281908589775,2909317473074.69,42261555468.21544,1743.8333333333333,32.39527778841394,1995.5666666666666,0.8719166666666668,0.9977833333333332,159645.33333333334,510.17058224529734,7999.444039398523,1.0,36703259.706383735
6,12444.764162700849,38.47283884237532,3089749278687.64,19085360223.246033,1737.6666666666667,34.911052822786694,1986.8666666666666,0.8688333333333333,0.9934333333333334,174844.26666666666,785.3070971165415,7986.013429217774,1.0,39113350.283518024
8,12493.546463763607,73.2755592304515,3114102620845.094,36426591931.01278,1656.7333333333333,30.60305746876906,1889.8333333333333,0.8283666666666669,0.9449166666666665,181424.0,1027.8118706160726,7755.845330377609,1.0,41311281.434037186
10,12493.147510247401,60.93114122070308,3113871736397.169,30328742236.42985,1644.5,35.41356646336503,1879.4333333333334,0.82225,0.9397166666666668,195461.06666666668,1123.3339213477775,7726.874480900221,1.0,41625691.51365835
12,12472.603196347922,88.06820927944254,3103713613623.627,43681667458.8371,1641.3,34.07613180249029,1877.0333333333333,0.8206500000000001,0.9385166666666666,210227.73333333334,1491.5090005932163,7714.931995830934,1.0,41573104.04678915
