delta,match,event_J,event_bits,event_N_tx,periodic_M,periodic_J,periodic_bits,periodic_N_tx
0.1,updates,3127722352789.9253,191964.8,1748.5666666666666,1,3127320577250.3115,192000.0,1746.9666666666667
0.1,bits,3127722352789.9253,191964.8,1748.5666666666666,1,3127320577250.3115,192000.0,1746.9666666666667
0.5,updates,3114102620845.094,181424.0,1656.7333333333333,1,3127320577250.3115,192000.0,1746.9666666666667
0.5,bits,3114102620845.094,181424.0,1656.7333333333333,1,3127320577250.3115,192000.0,1746.9666666666667
1.0,updates,59362540185.769806,11116.8,99.43333333333334,20,641241906150.9323,9600.0,88.0
1.0,bits,59362540185.769806,11116.8,99.43333333333334,17,860328729392.5853,11328.0,104.1
