setting,rms_avg_mean,bits_mean,tx_meas_mean,tx_share_mean,fail_rate
"2-UAV, no sharing (event)",12516.095133117045,372720.0,3882.5,0.0,1.0
"2-UAV, event-triggered pose sharing (event)",12514.966950838607,648132.8,3882.05,3443.2,1.0
"2-UAV, no sharing (periodic)",9174.752312033263,38400.0,400.0,0.0,1.0
"2-UAV, event-triggered pose sharing (periodic)",9257.282070992103,307988.0,400.0,3369.85,1.0
"2-UAV, no sharing (random)",9383.256460809938,76756.8,799.55,0.0,1.0
"2-UAV, event-triggered pose sharing (random)",9255.065720693932,347530.4,800.4,3383.65,1.0
